TimeFrame,DateTime,Year_Quarter,Time_Period,Year,Quarter,Location Id,Territorial_Authority,Dwelling Type,Number Of Beds,Median Rent,Geometric Mean Rent,Upper Quartile Rent,Lower Quartile Rent,Active Bonds,Total Bonds,Closed Bonds
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,142200.0,Auckland,House,3,750.0,765.0,796.0,723.0,126,12,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,142300.0,Auckland,House,3,550.0,560.0,598.0,528.0,78,9,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,142500.0,Auckland,House,3,643.0,629.0,696.0,583.0,33,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,142600.0,Auckland,House,3,785.0,744.0,800.0,703.0,66,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,142800.0,Auckland,House,3,710.0,696.0,758.0,651.0,150,12,21
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,142900.0,Auckland,House,3,668.0,667.0,696.0,635.0,63,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143000.0,Auckland,House,3,765.0,793.0,848.0,735.0,78,12,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143100.0,Auckland,House,3,780.0,776.0,865.0,675.0,111,15,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143200.0,Auckland,House,3,800.0,801.0,805.0,788.0,54,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143300.0,Auckland,House,3,713.0,711.0,754.0,675.0,96,9,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143400.0,Auckland,House,3,695.0,657.0,720.0,596.0,72,12,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143500.0,Auckland,House,3,760.0,776.0,865.0,670.0,78,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143600.0,Auckland,House,3,725.0,725.0,743.0,708.0,48,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143700.0,Auckland,House,3,680.0,752.0,835.0,668.0,75,9,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143800.0,Auckland,House,3,708.0,693.0,750.0,649.0,108,18,15
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,143900.0,Auckland,House,3,705.0,757.0,830.0,690.0,102,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,144000.0,Auckland,House,3,770.0,796.0,803.0,733.0,75,9,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,144100.0,Auckland,House,3,725.0,720.0,810.0,685.0,90,6,12
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,144300.0,Auckland,House,3,670.0,663.0,715.0,630.0,96,9,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,144400.0,Auckland,House,3,650.0,674.0,695.0,645.0,126,15,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,144500.0,Auckland,House,3,703.0,680.0,738.0,641.0,96,6,9
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,144800.0,Auckland,House,3,663.0,660.0,680.0,628.0,102,12,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,145000.0,Auckland,House,3,640.0,654.0,703.0,600.0,78,6,6
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,145100.0,Auckland,House,3,750.0,771.0,825.0,705.0,84,6,3
1/01/2020,2020-01-01,2020-Q1,Jan-Mar 2020,2020,1,145300.0,Auckland,House,3,550.0,466.0,580.0,488.0,87,9,9
